LoanID,LoanType,LoanPurpose,EmploymentType,OriginationDate,OriginationYear,OriginationQtr,LoanAmount,InterestRate,TermYears,BranchName,Region,State,BranchManager,LoanStatus,DaysDelinquent,MonthlyPayment,AgingBucket,DelinquencyFlag,DefaultFlag,CreditScore,CreditBand,PreviousDefaults,MonthlyIncome,BureauSource,PropertyType,PropertyValue,LTV,LTV_Band,PropertyState,DTI_Ratio,AnnualInterestIncome
LN-00001,Fixed 30-Year,Refinance,Salaried,2019-02-24,2019,Q1-2019,306000.0,4.48,30,Rochester Branch,North,NY,Tom Henderson,Current,0,1546.82,0-Current,0,0,739,Good (700-749),0,10774.0,Equifax,Townhouse,403000.0,0.76,Medium (70-85%),NJ,0.144,13709.0
LN-00002,Fixed 30-Year,Refinance,Contract,2018-04-19,2018,Q2-2018,157000.0,4.53,30,San Diego Branch,West,CA,Kevin Nguyen,Current,0,798.3,0-Current,0,0,688,Fair (650-699),0,26542.0,Equifax,Multi-Family,221000.0,0.71,Medium (70-85%),MD,0.03,7112.0
LN-00003,Fixed 15-Year,Refinance,Retired,2019-10-16,2019,Q4-2019,744000.0,3.29,15,Phoenix Branch,West,AZ,Rachel Torres,30 DPD,44,5242.33,1-30 DPD,1,0,751,Excellent (750+),1,12775.0,TransUnion,Townhouse,783000.0,0.95,High (>85%),CA,0.41,24478.0
LN-00004,Fixed 30-Year,Purchase,Retired,2022-04-06,2022,Q2-2022,706000.0,3.81,30,Atlanta Branch,South,GA,Angela Brooks,Current,0,3293.68,0-Current,0,0,821,Excellent (750+),0,5158.0,Experian,Townhouse,1009000.0,0.7,Low (<70%),IL,0.639,26899.0
LN-00005,ARM 5/1,Purchase,Retired,2022-03-31,2022,Q1-2022,678000.0,6.2,15,Boston Branch,East,MA,Patricia Cole,Current,0,5794.87,0-Current,0,0,681,Fair (650-699),0,13735.0,Experian,Townhouse,892000.0,0.76,Medium (70-85%),IL,0.422,42036.0
LN-00006,ARM 5/1,Purchase,Self-Employed,2018-10-12,2018,Q4-2018,377000.0,4.31,15,Indianapolis Branch,Central,IN,Christopher Lee,Current,0,2847.55,0-Current,0,0,681,Fair (650-699),0,23189.0,TransUnion,Multi-Family,618000.0,0.61,Low (<70%),NV,0.123,16249.0
LN-00007,ARM 7/1,Purchase,Retired,2022-04-06,2022,Q2-2022,781000.0,8.02,15,Philadelphia Branch,East,PA,Robert Simmons,Default,263,7472.66,4-Default,1,1,680,Fair (650-699),0,5474.0,Experian,Single Family,849000.0,0.92,High (>85%),FL,1.365,62636.0
LN-00008,Fixed 30-Year,Refinance,Self-Employed,2018-10-20,2018,Q4-2018,630000.0,7.11,30,Baltimore Branch,East,MD,David Kumar,Current,0,4238.05,0-Current,0,0,761,Excellent (750+),0,9998.0,TransUnion,Condo,1125000.0,0.56,Low (<70%),OH,0.424,44793.0
LN-00009,Fixed 30-Year,Purchase,Retired,2024-03-31,2024,Q1-2024,391000.0,8.69,30,Charlotte Branch,South,NC,Michael Hayes,90 DPD,117,3059.26,3-90 DPD,1,0,569,Poor (<650),0,23260.0,TransUnion,Townhouse,674000.0,0.58,Low (<70%),NV,0.132,33978.0
LN-00010,Fixed 30-Year,Purchase,Retired,2021-01-01,2021,Q1-2021,106000.0,4.98,30,Buffalo Branch,North,NY,James Carlson,Current,0,567.74,0-Current,0,0,743,Good (700-749),0,20022.0,TransUnion,Condo,149000.0,0.71,Medium (70-85%),NY,0.028,5279.0
LN-00011,Fixed 30-Year,Purchase,Retired,2020-12-20,2020,Q4-2020,830000.0,5.77,30,Las Vegas Branch,West,NV,Steven Park,Current,0,4854.21,0-Current,0,0,662,Fair (650-699),0,16873.0,TransUnion,Condo,865000.0,0.96,High (>85%),CA,0.288,47891.0
LN-00012,Fixed 30-Year,Purchase,Salaried,2019-07-21,2019,Q3-2019,558000.0,5.24,30,Columbus Branch,Central,OH,Melissa Brown,Current,0,3077.84,0-Current,0,0,662,Fair (650-699),1,13489.0,Equifax,Multi-Family,946000.0,0.59,Low (<70%),CA,0.228,29239.0
LN-00013,ARM 5/1,Refinance,Contract,2022-09-26,2022,Q3-2022,205000.0,4.13,15,Buffalo Branch,North,NY,James Carlson,30 DPD,51,1529.75,1-30 DPD,1,0,719,Good (700-749),0,27530.0,Equifax,Single Family,325000.0,0.63,Low (<70%),MD,0.056,8467.0
LN-00014,ARM 7/1,Refinance,Salaried,2018-02-17,2018,Q1-2018,514000.0,8.59,15,Indianapolis Branch,Central,IN,Christopher Lee,Current,0,5088.71,0-Current,0,0,550,Poor (<650),0,4176.0,Equifax,Condo,547000.0,0.94,High (>85%),NJ,1.219,44153.0
LN-00015,ARM 5/1,Purchase,Contract,2021-04-17,2021,Q2-2021,710000.0,5.12,15,Detroit Branch,Central,MI,Brian Johnson,Current,0,5659.12,0-Current,0,0,562,Poor (<650),1,12406.0,TransUnion,Condo,1092000.0,0.65,Low (<70%),MA,0.456,36352.0
LN-00016,ARM 7/1,Cash-Out Refinance,Retired,2019-03-12,2019,Q1-2019,705000.0,6.04,15,Boston Branch,East,MA,Patricia Cole,Current,0,5964.44,0-Current,0,0,655,Fair (650-699),1,9876.0,TransUnion,Townhouse,829000.0,0.85,Medium (70-85%),MA,0.604,42582.0
LN-00017,Fixed 15-Year,Home Equity,Salaried,2024-01-19,2024,Q1-2024,205000.0,7.44,15,Chicago Branch,Central,IL,Nancy Williams,90 DPD,105,1893.39,3-90 DPD,1,0,544,Poor (<650),0,10019.0,Equifax,Single Family,289000.0,0.71,Medium (70-85%),CA,0.189,15252.0
LN-00018,Fixed 30-Year,Purchase,Self-Employed,2021-06-13,2021,Q2-2021,172000.0,5.25,30,Newark Branch,East,NJ,Jennifer Walsh,Current,0,949.79,0-Current,0,0,725,Good (700-749),2,9872.0,Experian,Townhouse,246000.0,0.7,Low (<70%),NY,0.096,9030.0
LN-00019,ARM 7/1,Home Equity,Self-Employed,2018-10-11,2018,Q4-2018,150000.0,5.92,15,Columbus Branch,Central,OH,Melissa Brown,Current,0,1259.31,0-Current,0,0,627,Poor (<650),0,17377.0,Experian,Townhouse,268000.0,0.56,Low (<70%),MD,0.072,8880.0
LN-00020,ARM 7/1,Home Equity,Self-Employed,2022-09-30,2022,Q3-2022,215000.0,6.15,15,Las Vegas Branch,West,NV,Steven Park,Current,0,1831.76,0-Current,0,0,587,Poor (<650),0,6266.0,Experian,Multi-Family,224000.0,0.96,High (>85%),NC,0.292,13223.0
LN-00021,Fixed 30-Year,Purchase,Self-Employed,2023-10-21,2023,Q4-2023,631000.0,5.3,30,Philadelphia Branch,East,PA,Robert Simmons,30 DPD,57,3503.97,1-30 DPD,1,0,817,Excellent (750+),0,5689.0,TransUnion,Multi-Family,1107000.0,0.57,Low (<70%),CA,0.616,33443.0
